Título,Preço (£),Classificação,Categoria
Sharp Objects,47.82,Four,Mystery
"In a Dark, Dark Wood",19.63,One,Mystery
The Past Never Ends,56.5,Four,Mystery
A Murder in Time,16.64,One,Mystery
The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,Four,Mystery
The Last Mile (Amos Decker #2),54.21,Two,Mystery
That Darkness (Gardiner and Renner #1),13.92,One,Mystery
Tastes Like Fear (DI Marnie Rome #3),10.69,One,Mystery
A Time of Torment (Charlie Parker #14),48.35,Five,Mystery
A Study in Scarlet (Sherlock Holmes #1),16.73,Two,Mystery
Poisonous (Max Revere Novels #3),26.8,Three,Mystery
Murder at the 42nd Street Library (Raymond Ambler #1),54.36,Four,Mystery
Most Wanted,35.28,Three,Mystery
Hide Away (Eve Duncan #20),11.84,One,Mystery
Boar Island (Anna Pigeon #19),59.48,Three,Mystery
The Widow,27.26,Two,Mystery
Playing with Fire,13.71,Three,Mystery
What Happened on Beale Street (Secrets of the South Mysteries #2),25.37,Five,Mystery
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),52.3,Five,Mystery
Delivering the Truth (Quaker Midwife Mystery #1),20.89,Four,Mystery
The Mysterious Affair at Styles (Hercule Poirot #1),24.8,Four,Mystery
In the Woods (Dublin Murder Squad #1),38.38,Two,Mystery
The Silkworm (Cormoran Strike #2),23.05,Five,Mystery
The Exiled,43.45,Three,Mystery
The Cuckoo's Calling (Cormoran Strike #1),19.21,One,Mystery
Extreme Prey (Lucas Davenport #26),25.4,Three,Mystery
Career of Evil (Cormoran Strike #3),24.72,Two,Mystery
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),57.7,Four,Mystery
The Girl You Lost,12.29,Five,Mystery
The Girl In The Ice (DCI Erika Foster #1),15.85,Three,Mystery
Blood Defense (Samantha Brinkman #1),20.3,Three,Mystery
1st to Die (Women's Murder Club #1),53.98,One,Mystery
Tipping the Velvet,53.74,One,Historical Fiction
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69,Three,Historical Fiction
A Flight of Arrows (The Pathfinders #2),55.53,Five,Historical Fiction
The House by the Lake,36.95,One,Historical Fiction
Mrs. Houdini,30.25,Five,Historical Fiction
The Marriage of Opposites,28.08,Four,Historical Fiction
Glory over Everything: Beyond The Kitchen House,45.84,Three,Historical Fiction
"Love, Lies and Spies",20.55,Two,Historical Fiction
A Paris Apartment,39.01,Four,Historical Fiction
Lilac Girls,17.28,Two,Historical Fiction
The Constant Princess (The Tudor Court #1),16.62,Three,Historical Fiction
The Invention of Wings,37.34,One,Historical Fiction
World Without End (The Pillars of the Earth #2),32.97,Four,Historical Fiction
The Passion of Dolssa,28.32,Five,Historical Fiction
Girl With a Pearl Earring,26.77,One,Historical Fiction
Voyager (Outlander #3),21.07,Five,Historical Fiction
The Red Tent,35.66,Five,Historical Fiction
The Last Painting of Sara de Vos,55.55,Two,Historical Fiction
The Guernsey Literary and Potato Peel Pie Society,49.53,One,Historical Fiction
Girl in the Blue Coat,46.83,Two,Historical Fiction
Between Shades of Gray,20.79,Five,Historical Fiction
While You Were Mine,41.32,Five,Historical Fiction
The Secret Healer,34.56,Three,Historical Fiction
Starlark,25.83,Three,Historical Fiction
Lost Among the Living,27.7,Four,Historical Fiction
A Spy's Devotion (The Regency Spies of London #1),16.97,Five,Historical Fiction
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,Five,Sequential Art
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,One,Sequential Art
This One Summer,19.49,Four,Sequential Art
The Nameless City (The Nameless City #1),38.16,Four,Sequential Art
"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04,Two,Sequential Art
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.4,Three,Sequential Art
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,Five,Sequential Art
"Pop Gun War, Volume 1: Gift",18.97,One,Sequential Art
Patience,10.16,Three,Sequential Art
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,Four,Sequential Art
orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,One,Sequential Art
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,Two,Sequential Art
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,Three,Sequential Art
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,Two,Sequential Art
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",29.17,Two,Sequential Art
I am a Hero Omnibus Volume 1,54.63,Three,Sequential Art
"Giant Days, Vol. 2 (Giant Days #5-8)",22.11,Two,Sequential Art
Danganronpa Volume 1,51.99,Four,Sequential Art
"Codename Baboushka, Volume 1: The Conclave of Death",36.72,Four,Sequential Art
Camp Midnight,17.08,Four,Sequential Art
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",37.92,Two,Sequential Art
The Shadow Hero (The Shadow Hero),33.14,One,Sequential Art
"Fables, Vol. 1: Legends in Exile (Fables #1)",41.62,Four,Sequential Art
Batman: The Long Halloween (Batman),36.5,Two,Sequential Art
Batman: The Dark Knight Returns (Batman),15.38,Five,Sequential Art
"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",37.34,Four,Sequential Art
"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",53.9,One,Sequential Art
